Driver,Team,BrakingDistance,LapNumber
SAI,Williams,152.1888888888891,25.0
SAI,Williams,143.75944444444485,26.0
SAI,Williams,156.42222222222222,27.0
SAI,Williams,142.26666666666665,28.0
SAI,Williams,117.83333333333303,29.0
SAI,Williams,120.74166666666679,30.0
SAI,Williams,107.96666666666647,31.0
SAI,Williams,132.0677777777771,32.0
SAI,Williams,95.36666666666656,33.0
SAI,Williams,133.76166666666677,34.0
SAI,Williams,110.95555555555552,35.0
SAI,Williams,89.89694444444444,36.0
SAI,Williams,123.20472222222179,37.0
SAI,Williams,109.14444444444462,38.0
SAI,Williams,119.70444444444433,39.0
SAI,Williams,91.5666666666666,40.0
SAI,Williams,106.0666666666666,41.0
SAI,Williams,118.61111111111109,42.0
SAI,Williams,116.47777777777787,43.0
SAI,Williams,104.88222222222203,44.0
SAI,Williams,96.13333333333321,45.0
SAI,Williams,116.13333333333344,46.0
SAI,Williams,109.97083333333353,47.0
SAI,Williams,115.4666666666667,48.0
SAI,Williams,121.7711111111114,49.0
SAI,Williams,135.58444444444467,50.0
HAD,Racing Bulls,132.65194444444433,5.0
HAD,Racing Bulls,138.5083333333332,6.0
HAD,Racing Bulls,130.50861111111112,7.0
HAD,Racing Bulls,139.25555555555502,8.0
HAD,Racing Bulls,126.79722222222222,9.0
HAD,Racing Bulls,141.6830555555557,10.0
HAD,Racing Bulls,117.47777777777742,11.0
HAD,Racing Bulls,126.63000000000011,12.0
HAD,Racing Bulls,134.91111111111104,13.0
HAD,Racing Bulls,152.1627777777776,14.0
HAD,Racing Bulls,142.4183333333333,15.0
HAD,Racing Bulls,155.79722222222267,17.0
HAD,Racing Bulls,123.45861111111117,18.0
HAD,Racing Bulls,129.6888888888891,19.0
HAD,Racing Bulls,148.15555555555557,22.0
HAD,Racing Bulls,135.87777777777796,23.0
HAD,Racing Bulls,110.05555555555543,24.0
HAD,Racing Bulls,134.44444444444457,25.0
HAD,Racing Bulls,121.23333333333335,26.0
HAD,Racing Bulls,127.61527777777769,27.0
HAD,Racing Bulls,136.61111111111086,28.0
